,BUILDERS,SIZE,PROPERTY_TYPE,PROPERTY_ADDRESS,CITY,AREA,RATE_SQFT,PRICE,CONSTRUCTION_STATUS,LISTED_BY
1908,ProptigerAGENT0,3 BHK,Apartment,Kovur,Chennai,1340 ,"5,250", 70.35 L,Ready to move,AGENT
1909,vetrirealsBUILDER0,2 BHK,Villa,Vandalur,Chennai,1250 ,"4,400", 55 L,Ready to move,BUILDER
1910,Chennai propertiesBUILDER0,2 BHK,Apartment,Mahindra,Chennai,1141 ,"3,943", 45 L,Ready to move,BUILDER
1911,vetrirealsBUILDER0,2 BHK,Independent,Chengalpattu,Chennai,750 ,"3,988", 29.91 L,Under Construction,BUILDER
1912,vetrirealsBUILDER0,2 BHK,Independent,Chengalpattu,Chennai,683 ,"4,527", 30.92 L,Under Construction,BUILDER
1913,SubesinghOWNER,3 BHK,ApartmentAyanavaram,Ayanavaram,Chennai,900 ,"6,555", 59 L,Ready to move,OWNER
1914,GobinathOWNER,2 BHK,ApartmentPuzhal,Puzhal,Chennai,925 ,"5,945", 55 L,Ready to move,OWNER
1915,SubesinghOWNER,3 BHK,ApartmentAyanavaram,Ayanavaram,Chennai,900 ,"6,555", 59 L,Ready to move,OWNER
1916,SubesinghOWNER,3 BHK,ApartmentAyanavaram,Ayanavaram,Chennai,900 ,"6,555", 59 L,Ready to move,OWNER
1917,SubesinghOWNER,3 BHK,ApartmentAyanavaram,Ayanavaram,Chennai,900 ,"6,555", 59 L,Ready to move,OWNER
1918,SubesinghOWNER,3 BHK,ApartmentAyanavaram,Ayanavaram,Chennai,900 ,"6,555", 59 L,Ready to move,OWNER
1919,SubesinghOWNER,3 BHK,ApartmentAyanavaram,Ayanavaram,Chennai,900 ,"6,555", 59 L,Ready to move,OWNER
1920,GobinathOWNER,2 BHK,ApartmentPuzhal,Puzhal,Chennai,925 ,"5,945", 55 L,Ready to move,OWNER
1921,SubesinghOWNER,3 BHK,ApartmentAyanavaram,Ayanavaram,Chennai,900 ,"6,555", 59 L,Ready to move,OWNER
1922,SubesinghOWNER,3 BHK,ApartmentAyanavaram,Ayanavaram,Chennai,900 ,"6,555", 59 L,Ready to move,OWNER
1923,SubesinghOWNER,3 BHK,ApartmentAyanavaram,Ayanavaram,Chennai,900 ,"6,555", 59 L,Ready to move,OWNER
